iter	RMSE
0	2292062.468
1	2220570.851
2	2153785.196
3	2094619.334
4	2035883.286
5	1977718.311
6	1928153.787
7	1877028.756
8	1826570.483
9	1773800.076
10	1734320.156
11	1691029.648
12	1648770.332
13	1604702.838
14	1566046.623
15	1532665.049
16	1499253.704
17	1465080.485
18	1436656.879
19	1405073.316
20	1376716.192
21	1346090.353
22	1314017.69
23	1285540.101
24	1260776.413
25	1236512.021
26	1213966.317
27	1187501.361
28	1162773.996
29	1139728.219
30	1117678.026
31	1095367.026
32	1073749.035
33	1055745.53
34	1037855.522
35	1019701.564
36	1002914.981
37	985648.5246
38	970162.0528
39	957806.7453
40	945268.2438
41	933335.1198
42	919714.6643
43	907190.162
44	893270.7207
45	879256.5504
46	868263.0602
47	858271.2795
48	846265.9815
49	835950.0525
50	827097.3778
51	818007.874
52	810855.6391
53	803830.2608
54	793673.3716
55	784426.1139
56	774874.8312
57	766834.3584
58	759812.6751
59	748798.6239
60	741102.8544
61	737133.5151
62	730596.1195
63	722368.6396
64	714355.81
65	706394.3733
66	702754.9435
67	696198.4152
68	692333.6209
69	687669.1211
70	681380.555
71	676362.822
72	673216.5463
73	666686.5216
74	664119.3458
75	659220.4563
76	653770.6916
77	650011.4655
78	645559.4495
79	641159.1897
80	635256.4933
81	632134.519
82	629515.5759
83	626146.3404
84	622184.5801
85	620484.7864
86	616923.6511
87	613759.1229
88	610679.8132
89	605613.4798
90	601356.647
91	599555.5352
92	595597.8179
93	590731.3053
94	588972.6983
95	586397.7478
96	584390.8312
97	582893.3695
98	580102.1551
99	578772.949
100	577110.7158
101	575966.574
102	570466.9591
103	568727.0018
104	567187.3575
105	565301.9359
106	563509.4988
107	560138.1373
108	559095.9578
109	554727.4754
110	553451.0491
111	551942.4401
112	550683.2117
113	549077.3301
114	547660.5779
115	546388.1389
116	545316.7363
117	539965.6003
118	536249.0398
119	534544.1576
120	533567.7167
121	530797.3699
122	529998.427
123	525868.8504
124	524920.0594
125	521602.586
126	520596.8617
127	517458.3426
128	516488.2071
129	514752.203
130	510706.3637
131	507217.3858
132	506088.7167
133	504833.6438
134	503989.5148
135	502938.7281
136	499442.7048
137	496003.5321
138	494909.6339
139	493903.8319
140	492978.7061
141	489867.8572
142	486589.7551
143	485559.076
144	484655.4715
145	481181.3845
146	477894.1334
147	477071.6716
148	476248.9443
149	475300.4581
150	472866.9861
151	469741.7024
152	468856.4951
153	468105.9356
154	467357.7455
155	464707.7648
156	463831.7119
157	461223.6188
158	460376.485
159	457844.3054
160	457021.4991
161	454630.7114
162	453841.9594
163	453127.3533
164	450635.1381
165	449876.7274
166	446862.682
167	446118.1982
168	445382.5054
169	443202.0515
170	442469.6711
171	441722.7432
172	441019.155
173	440334.2041
174	439619.4624
175	438950.8789
176	436411.1764
177	435761.42
178	433698.2274
179	433036.7462
180	432392.8442
181	430174.8473
182	428629.0249
183	427983.7755
184	424357.4619
185	421820.0151
186	421211.1967
187	419281.2319
188	418697.3463
189	416873.568
190	415094.4446
191	413194.0579
192	410767.8416
193	410181.7784
194	409598.2411
195	409023.5724
196	407386.5608
197	406826.8784
198	404827.7738
199	404217.5997
