iter	Passed	Remaining
0	209	41639
1	247	24473
2	286	18780
3	320	15681
4	355	13872
5	390	12620
6	413	11413
7	429	10318
8	445	9455
9	461	8763
10	476	8180
11	491	7698
12	507	7294
13	521	6933
14	537	6629
15	551	6347
16	570	6140
17	584	5912
18	599	5709
19	614	5527
20	628	5359
21	643	5207
22	658	5067
23	673	4936
24	688	4817
25	704	4711
26	718	4604
27	733	4505
28	749	4418
29	765	4338
30	782	4267
31	799	4195
32	814	4120
33	829	4050
34	845	3984
35	860	3920
36	891	3925
37	905	3861
38	920	3799
39	935	3740
40	949	3682
41	963	3626
42	980	3578
43	994	3524
44	1009	3475
45	1024	3429
46	1038	3381
47	1053	3337
48	1069	3296
49	1084	3252
50	1099	3211
51	1114	3172
52	1129	3133
53	1144	3094
54	1159	3057
55	1174	3020
56	1189	2984
57	1204	2949
58	1220	2915
59	1234	2880
60	1249	2846
61	1263	2811
62	1278	2780
63	1293	2748
64	1307	2716
65	1322	2685
66	1337	2655
67	1351	2624
68	1367	2595
69	1383	2569
70	1398	2540
71	1413	2512
72	1428	2485
73	1442	2456
74	1457	2429
75	1471	2400
76	1486	2375
77	1502	2349
78	1516	2323
79	1532	2298
80	1547	2273
81	1562	2248
82	1576	2222
83	1592	2199
84	1607	2175
85	1640	2174
86	1673	2174
87	1708	2174
88	1744	2175
89	1777	2172
90	1811	2170
91	1844	2164
92	1877	2159
93	1911	2155
94	1933	2137
95	1948	2111
96	1964	2085
97	1980	2061
98	1996	2036
99	2012	2012
100	2027	1987
101	2042	1962
102	2057	1937
103	2072	1912
104	2086	1888
105	2102	1864
106	2117	1840
107	2132	1816
108	2146	1792
109	2162	1769
110	2177	1745
111	2192	1722
112	2207	1699
113	2222	1676
114	2237	1653
115	2252	1630
116	2267	1608
117	2282	1586
118	2297	1564
119	2313	1542
120	2329	1521
121	2345	1499
122	2362	1478
123	2378	1457
124	2395	1437
125	2411	1416
126	2426	1394
127	2440	1372
128	2456	1351
129	2471	1330
130	2487	1310
131	2527	1302
132	2561	1290
133	2595	1278
134	2628	1265
135	2661	1252
136	2695	1239
137	2727	1225
138	2773	1217
139	2807	1203
140	2841	1188
141	2874	1174
142	2909	1159
143	2941	1143
144	2974	1128
145	3008	1112
146	3040	1096
147	3073	1079
148	3106	1063
149	3138	1046
150	3177	1031
151	3215	1015
152	3255	1000
153	3281	980
154	3303	959
155	3322	937
156	3341	915
157	3360	893
158	3379	871
159	3397	849
160	3416	827
161	3435	805
162	3454	784
163	3473	762
164	3492	740
165	3511	719
166	3530	697
167	3548	675
168	3568	654
169	3587	633
170	3605	611
171	3624	589
172	3642	568
173	3661	547
174	3679	525
175	3699	504
176	3716	482
177	3733	461
178	3748	439
179	3764	418
180	3779	396
181	3793	375
182	3809	353
183	3824	332
184	3838	311
185	3854	290
186	3869	268
187	3883	247
188	3899	226
189	3914	206
190	3928	185
191	3944	164
192	3960	143
193	3975	122
194	3990	102
195	4006	81
196	4021	61
197	4036	40
198	4051	20
199	4066	0
